ISO3,Production,Imports_Original,Imports_Shocked,Population,Availability_Baseline,Availability_After_Shock,Percent_Drop,Severity
NA,34206687.81,0,0,1034848565,33.054776289900936,33.054776289900936,0,Low
NA,34206687.81,0,0,380481775,89.90361709177793,89.90361709177793,0,Low
NA,34206687.81,0,0,179821109,190.22620870389585,190.22620870389585,0,Low
NA,34206687.81,0,0,44052902,776.4911335466618,776.4911335466618,0,Low
NA,34206687.81,0,0,430492778,79.4593766913321,79.4593766913321,0,Low
NA,34206687.81,0,0,4747661033,7.204955781854784,7.204955781854784,0,Low
NA,34206687.81,0,0,79341768,431.13089955343577,431.13089955343577,0,Low
NA,34206687.81,0,0,1663264901,20.56598909135521,20.56598909135521,0,Low
NA,34206687.81,0,0,2022467287,16.913345412246464,16.913345412246464,0,Low
NA,34206687.81,0,0,684898412,49.94417742933824,49.94417742933824,0,Low
NA,34206687.81,0,0,297688665,114.90759250104469,114.90759250104469,0,Low
NA,34206687.81,0,0,746964086,45.79428710311516,45.79428710311516,0,Low
NA,34206687.81,0,0,289050977,118.34136720458137,118.34136720458137,0,Low
NA,34206687.81,0,0,107439461,318.3810444655898,318.3810444655898,0,Low
NA,34206687.81,0,0,151975351,225.08049881062624,225.08049881062624,0,Low
NA,34206687.81,0,0,198498297,172.3273616297071,172.3273616297071,0,Low
NA,34206687.81,0,0,45049350,759.3159015612879,759.3159015612879,0,Low
NA,34206687.81,0,0,31332719,1091.7242072097224,1091.7242072097224,0,Low
NA,34206687.81,0,0,12503827,2735.6974636645245,2735.6974636645245,0,Low
NA,34206687.81,0,0,449113453,76.16491463683677,76.16491463683677,0,Low
NA,34206687.81,0,0,1134811910,30.14304618110679,30.14304618110679,0,Low
NA,34206687.81,0,0,566128954,60.42207798825991,60.42207798825991,0,Low
NA,34206687.81,0,0,72230332,473.5778842882794,473.5778842882794,0,Low
NA,34206687.81,0,0,1039281637,32.9137806271083,32.9137806271083,0,Low
NA,34206687.81,0,0,1780529299,19.21152762227026,19.21152762227026,0,Low
NA,119245278.38,0,0,5343,22318038.251918398,22318038.251918398,0,Low
NA,119245278.38,0,0,12077154,9873.624065736018,9873.624065736018,0,Low
NA,119245278.38,0,0,7465915,15971.957674310517,15971.957674310517,0,Low
NA,119245278.38,0,0,704356,169296.88734106047,169296.88734106047,0,Low
NA,119245278.38,0,0,1425179569,83.67035352862261,83.67035352862261,0,Low
NA,119245278.38,0,0,23420111,5091.576140693783,5091.576140693783,0,Low
NA,119245278.38,0,0,30395002,3923.1870548980387,3923.1870548980387,0,Low
NA,119245278.38,0,0,185345,643369.2755671855,643369.2755671855,0,Low
NA,119245278.38,0,0,102396968,1164.5391529561696,1164.5391529561696,0,Low
NA,119245278.38,0,0,89524246,1331.988636687317,1331.988636687317,0,Low
NA,119245278.38,0,0,112114,1063607.385161532,1063607.385161532,0,Low
NA,119245278.38,0,0,17904421,6660.10246184448,6660.10246184448,0,Low
NA,119245278.38,0,0,871540,136821.34885375312,136821.34885375312,0,Low
NA,119245278.38,0,0,10920,10919897.287545787,10919897.287545787,0,Low
NA,119245278.38,0,0,87058473,1369.7147936421995,1369.7147936421995,0,Low
NA,119245278.38,0,0,86507,1378446.5809703262,1378446.5809703262,0,Low
NA,119245278.38,0,0,28213017,4226.604988045057,4226.604988045057,0,Low
NA,119245278.38,0,0,11478,10389029.30649939,10389029.30649939,0,Low
NA,119245278.38,0,0,8021406686,14.865881141286893,14.865881141286893,0,Low
